Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Es_SKU_Fantasma,Posible_Devolucion,Outlier_Entrega,Ciudad_Valida,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Bodega_Externa,Stock_Imputado,Outlier_Costo,Dias_Desde_Revision,Rating_Producto,Rating_Logistica,Satisfaccion_NPS,Ticket_Soporte_Abierto,Recomienda_Marca,Comentario_Texto,Feedback_Count,Tiene_Feedback,Ingreso_Transaccion,Margen_Unitario,Margen_Pct,Margen_Total_Transaccion,Brecha_Entrega,Ingreso_En_Riesgo
TRX-10011,PROD-3418,2025-12-07,10,1119.91,20.77,3,Devuelto,Bogotá,Físico,False,False,False,True,Monitores,669.0,1363.57,293.0,3.0,Sur,2025-12-01,False,False,False,236.0,,,,False,,,0,False,11199.1,-243.65999999999985,-0.21757105481690478,-2436.5999999999985,0.0,0.0
TRX-10012,PROD-2728,2025-08-01,1,1375.59,52.36,8,Entregado,Cali,App,False,False,False,True,Tablets,445.0,124.9,100.0,0.0,Norte,2025-03-23,False,False,False,489.0,,,,False,,,0,False,1375.59,1250.6899999999998,0.9092025967039596,1250.6899999999998,8.0,0.0
TRX-10013,PROD-1130,2024-12-10,13,485.04,63.46,12,Entregado,Barranquilla,Físico,False,False,False,True,Accesorios,427.0,887.57,200.0,3.0,Sur,2025-08-07,False,False,False,352.0,,,,False,,,0,False,6305.52,-402.53000000000003,-0.829890318324262,-5232.89,9.0,0.0
TRX-10014,PROD-1122,2025-03-21,11,1673.53,98.3,14,Devuelto,Sin Ciudad (Venta Web),Online,False,False,False,False,Tablets,1344.0,553.9,267.0,3.0,Norte,2025-02-28,False,False,False,512.0,,,,False,,,0,False,18408.829999999998,1119.63,0.6690229634365683,12315.93,11.0,0.0
TRX-10015,PROD-1383,2026-01-27,2,1446.47,12.07,5,Sin Información,Bucaramanga,App,False,False,False,True,Monitores,7.0,1027.07,121.0,10.0,BOD-EXT-99,2025-08-16,True,False,False,343.0,,,,False,,,0,False,2892.94,419.4000000000001,0.2899472508935547,838.8000000000002,-5.0,0.0
TRX-10016,PROD-1895,2025-03-04,3,475.85,51.59,2,Perdido,Sin Ciudad (Venta Web),WhatsApp,False,False,False,False,Accesorios,1865.0,1405.09,218.0,10.0,Norte,2024-04-08,False,False,False,838.0,3.0,3.5,-44.449999999999996,True,Sin Respuesta,Lento; Precio justo,2,True,1427.5500000000002,-929.2399999999999,-1.9528002521803085,-2787.72,-8.0,0.0
TRX-10017,PROD-1952,2025-04-12,14,1950.2,74.64,10,Sin Información,Sin Ciudad (Venta Web),Online,False,False,False,False,Monitores,673.0,1010.35,109.0,5.0,Norte,2024-08-08,False,False,False,716.0,,,,False,,,0,False,27302.8,939.85,0.48192493077633064,13157.9,5.0,0.0
TRX-10018,PROD-3069,2024-10-06,14,1332.95,9.37,3,Devuelto,Cali,WhatsApp,False,False,False,True,Smartphones,20.0,1369.78,296.0,27.5,Norte,2024-03-10,False,False,False,867.0,,,,False,,,0,False,18661.3,-36.82999999999993,-0.02763044375257881,-515.619999999999,-24.5,0.0
TRX-10019,PROD-3465,2025-09-04,2,910.33,78.94,23,Perdido,Medellín,Online,False,False,False,True,Smartphones,1058.0,890.67,137.0,5.0,Occidente,2025-04-09,False,True,False,472.0,3.0,2.0,-4.1,False,Sí,Dañado,1,True,1820.66,19.660000000000082,0.021596563883426977,39.320000000000164,18.0,0.0
TRX-10020,PROD-1108,2025-05-26,2,323.48,98.05,10,Retrasado,Bogotá,Online,False,False,False,True,Laptops,1927.0,1121.36,222.0,5.0,Norte,2025-05-16,False,False,False,435.0,,,,False,,,0,False,646.96,-797.8799999999999,-2.4665512551007787,-1595.7599999999998,5.0,0.0
TRX-10021,PROD-3298,2024-10-06,12,1071.11,13.41,9,Perdido,Bogotá,Online,False,False,False,True,Smartphones,1720.0,114.65,217.0,10.0,BOD-EXT-99,2025-12-14,True,False,False,223.0,,,,False,,,0,False,12853.32,956.4599999999999,0.8929615072214805,11477.519999999999,-1.0,0.0
TRX-10022,PROD-1814,2024-12-30,11,337.9,83.11,17,En Camino,Bogotá,WhatsApp,False,False,False,True,Accesorios,1055.0,657.69,190.0,5.0,ZONA_FRANCA,2025-10-07,True,False,False,291.0,1.0,5.0,85.9,True,Sí,Sin comentario,1,True,3716.8999999999996,-319.7900000000001,-0.946404261615863,-3517.690000000001,12.0,0.0
TRX-10023,PROD-3932,2024-10-25,6,864.69,40.97,28,Perdido,Sin Ciudad (Venta Web),Online,True,False,False,False,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,5188.14,,,,,5188.14
TRX-10024,PROD-3661,2025-12-02,7,823.34,52.36,6,En Camino,Sin Ciudad (Venta Web),App,True,False,False,False,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,5763.38,,,,,5763.38
TRX-10025,PROD-3872,2025-06-06,6,1442.68,18.69,27,Perdido,Barranquilla,App,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,3.0,3.0,-11.7,True,Tal vez,Sin comentario,1,True,8656.08,,,,,8656.08
TRX-10026,PROD-3232,2024-10-26,11,392.84,51.85,9,Devuelto,Bogotá,App,False,False,False,True,Tablets,1546.0,1016.29,210.0,5.0,Occidente,2024-09-01,False,False,False,692.0,,,,False,,,0,False,4321.24,-623.45,-1.587032888707871,-6857.950000000001,4.0,0.0
TRX-10027,PROD-2718,2024-10-11,6,1645.52,11.79,23,Perdido,Medellín,Online,False,False,False,True,Tablets,369.0,409.07,131.0,0.0,Sur,2025-06-07,False,False,False,413.0,3.0,2.0,48.2,False,No,Excelente,1,True,9873.119999999999,1236.45,0.7514038115610872,7418.700000000001,23.0,0.0
TRX-10028,PROD-1902,2025-02-21,9,659.0,54.6,3,Entregado,Cali,Físico,False,False,False,True,Laptops,1880.0,239.54,150.0,10.0,Sur,2025-02-10,False,False,False,530.0,,,,False,,,0,False,5931.0,419.46000000000004,0.6365098634294386,3775.1400000000003,-7.0,0.0
TRX-10029,PROD-2839,2026-01-25,8,893.54,6.84,7,Perdido,Sin Ciudad (Venta Web),Físico,False,False,False,False,Laptops,1365.0,816.63,214.0,5.0,Sur,2026-01-06,False,False,False,200.0,,,,False,,,0,False,7148.32,76.90999999999997,0.08607337108579355,615.2799999999997,2.0,0.0
TRX-10030,PROD-3413,2025-06-09,14,1546.96,74.22,12,Devuelto,Barranquilla,App,False,False,False,True,Smartphones,2.0,337.38,100.0,10.0,Norte,2025-06-25,False,False,False,395.0,,,,False,,,0,False,21657.440000000002,1209.58,0.781907741635207,16934.12,2.0,0.0
TRX-10031,PROD-2139,2025-03-05,8,1254.53,51.36,18,Devuelto,Bucaramanga,Online,False,False,False,True,Laptops,1316.0,839.61,299.0,0.0,Occidente,2025-12-30,False,False,False,207.0,,,,False,,,0,False,10036.24,414.91999999999996,0.3307374076347317,3319.3599999999997,18.0,0.0
TRX-10032,PROD-1026,2024-12-08,6,622.97,48.6,10,Perdido,Bogotá,WhatsApp,False,False,False,True,Laptops,1993.0,1088.27,238.0,10.0,BOD-EXT-99,2024-12-07,True,False,False,595.0,3.0,4.0,-53.8,True,No,Excelente,1,True,3737.82,-465.29999999999995,-0.7469059505273126,-2791.7999999999997,0.0,0.0
TRX-10033,PROD-1653,2025-08-02,5,778.54,23.64,2,Perdido,Bucaramanga,WhatsApp,False,False,False,True,Monitores,961.0,605.66,223.0,3.0,ZONA_FRANCA,2024-06-24,True,True,False,761.0,2.0,5.0,-25.9,True,No,Lento,1,True,3892.7,172.88,0.22205667017751177,864.4,-1.0,0.0
TRX-10034,PROD-3859,2025-11-12,9,618.52,39.32,17,Perdido,Medellín,App,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,2.0,5.0,-41.2,False,Sí,Excelente,1,True,5566.68,,,,,5566.68
TRX-10035,PROD-2731,2025-02-06,12,1193.59,22.28,3,Sin Información,Barranquilla,Online,False,False,False,True,Smartphones,162.0,562.54,137.0,5.0,Occidente,2024-07-27,False,False,False,728.0,4.0,3.0,-83.0,True,No,Excelente,1,True,14323.079999999998,631.05,0.5286991345436876,7572.599999999999,-2.0,0.0
TRX-10036,PROD-2393,2025-09-16,2,671.92,52.36,1,Sin Información,Barranquilla,WhatsApp,False,False,False,True,Laptops,132.0,751.07,271.0,3.0,ZONA_FRANCA,2025-04-24,True,False,False,457.0,1.0,4.0,80.9,True,Tal vez,Lento,1,True,1343.84,-79.15000000000009,-0.11779676151922862,-158.30000000000018,-2.0,0.0
TRX-10037,PROD-2138,2025-04-18,7,1454.14,74.86,8,Retrasado,Medellín,WhatsApp,False,False,False,True,Accesorios,123.0,620.31,118.0,5.0,Norte,2024-06-12,False,False,False,773.0,,,,False,,,0,False,10178.980000000001,833.8300000000002,0.5734179652578156,5836.810000000001,3.0,0.0
TRX-10038,PROD-1636,2025-05-22,6,1163.78,23.91,13,En Camino,Medellín,WhatsApp,False,False,False,True,Laptops,184.0,1407.11,290.0,5.0,BOD-EXT-99,2024-09-24,True,False,False,669.0,,,,False,,,0,False,6982.68,-243.32999999999993,-0.20908590970802035,-1459.9799999999996,8.0,0.0
TRX-10039,PROD-1881,2024-11-28,7,299.96,63.59,11,Perdido,Barranquilla,Físico,False,False,False,True,Laptops,854.0,421.48,210.0,3.0,Occidente,2024-10-22,False,False,False,641.0,,,,False,,,0,False,2099.72,-121.52000000000004,-0.4051206827577012,-850.6400000000003,8.0,0.0
TRX-10040,PROD-2378,2025-01-16,12,627.43,31.56,8,Perdido,Bogotá,Físico,False,False,False,True,Laptops,1447.0,525.43,108.0,5.0,Sur,2024-12-23,False,False,False,579.0,,,,False,,,0,False,7529.16,102.0,0.1625679358653555,1224.0,3.0,0.0
TRX-10041,PROD-1418,2025-10-31,4,450.68,67.41,20,En Camino,Sin Ciudad (Venta Web),WhatsApp,False,False,False,False,Sin Categoría,1473.0,303.24,227.0,3.0,Sur,2025-06-17,False,False,False,403.0,,,,False,,,0,False,1802.72,147.44,0.327150084317032,589.76,17.0,0.0
TRX-10042,PROD-1379,2025-04-12,9,786.72,56.34,1,Entregado,Bogotá,Online,False,False,False,True,Laptops,109.0,1305.07,157.0,5.0,Occidente,2025-04-12,False,False,False,469.0,,,,False,,,0,False,7080.4800000000005,-518.3499999999999,-0.6588748220459628,-4665.15,-4.0,0.0
TRX-10043,PROD-2556,2025-10-03,7,1036.81,45.23,2,Retrasado,Bogotá,WhatsApp,False,False,False,True,Tablets,1544.0,660.07,191.0,3.0,ZONA_FRANCA,2024-03-30,True,False,False,847.0,,,,False,,,0,False,7257.67,376.7399999999999,0.3633645508820323,2637.1799999999994,-1.0,0.0
TRX-10044,PROD-1396,2025-05-30,2,1018.46,68.94,18,Retrasado,Medellín,WhatsApp,False,False,False,True,Sin Categoría,157.0,388.33,203.0,3.0,ZONA_FRANCA,2025-11-15,True,False,False,252.0,,,,False,,,0,False,2036.92,630.1300000000001,0.6187086385326867,1260.2600000000002,15.0,0.0
TRX-10045,PROD-2470,2025-12-12,13,1511.5,44.49,18,Entregado,Medellín,Físico,False,False,False,True,Monitores,1209.0,486.4,166.0,10.0,ZONA_FRANCA,2026-01-25,True,False,False,181.0,,,,False,,,0,False,19649.5,1025.1,0.6782004631161098,13326.3,8.0,0.0
TRX-10046,PROD-2408,2025-12-08,4,386.45,83.03,9,En Camino,Bogotá,Online,False,False,False,True,Smartphones,985.0,221.06,167.0,27.5,Norte,2025-06-02,False,False,False,418.0,4.0,2.0,4.3,True,No,Sin comentario,1,True,1545.8,165.39,0.427972570837107,661.56,-18.5,0.0
TRX-10047,PROD-3472,2025-06-27,5,1893.48,74.31,7,En Camino,Cali,App,False,False,False,True,Smartphones,1540.0,1098.83,117.0,5.0,Occidente,2024-05-26,False,False,False,790.0,,,,False,,,0,False,9467.4,794.6500000000001,0.41967699685235654,3973.2500000000005,2.0,0.0
TRX-10048,PROD-2083,2025-01-12,2,692.26,52.36,9,Devuelto,Medellín,Online,False,False,False,True,Accesorios,232.0,1074.24,255.0,5.0,Norte,2025-08-10,False,False,False,349.0,,,,False,,,0,False,1384.52,-381.98,-0.5517869008753937,-763.96,4.0,0.0
TRX-10049,PROD-1177,2025-12-17,10,607.5,56.36,10,En Camino,Bogotá,Online,False,False,False,True,Smartphones,569.0,591.51,191.0,10.0,Norte,2025-06-01,False,False,False,419.0,,,,False,,,0,False,6075.0,15.990000000000009,0.026320987654321004,159.9000000000001,0.0,0.0
TRX-10050,PROD-3988,2025-08-19,8,1373.51,88.32,26,Sin Información,Cali,Físico,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,4.0,3.0,-33.8,True,No,Dañado,2,True,10988.08,,,,,10988.08
TRX-10051,PROD-2881,2026-01-08,1,1612.98,83.74,2,Retrasado,Cali,Online,False,False,False,True,Tablets,1038.0,1060.2,269.0,27.5,Sur,2025-03-04,False,False,False,508.0,2.0,5.0,-56.6,False,No,Precio justo,1,True,1612.98,552.78,0.3427072871331324,552.78,-25.5,0.0
TRX-10052,PROD-3196,2025-05-14,3,763.16,55.52,5,Sin Información,Medellín,Físico,False,False,False,True,Smartphones,53.0,958.86,108.0,0.0,Sur,2025-12-11,False,False,False,226.0,4.0,5.0,11.4,True,Sí,Sin comentario,1,True,2289.48,-195.70000000000005,-0.25643377535510253,-587.1000000000001,5.0,0.0
TRX-10053,PROD-1511,2025-03-17,14,1496.23,11.5,17,Devuelto,Bogotá,Online,False,False,False,True,Tablets,73.0,87.25,202.0,5.0,Norte,2025-08-24,False,False,False,335.0,,,,False,,,0,False,20947.22,1408.98,0.9416867727555256,19725.72,12.0,0.0
TRX-10054,PROD-2550,2025-10-19,1,1768.63,58.77,2,Perdido,Bogotá,Físico,False,False,False,True,Monitores,961.0,60.66,222.0,27.5,ZONA_FRANCA,2024-08-12,True,True,False,712.0,,,,False,,,0,False,1768.63,1707.97,0.9657022667262231,1707.97,-25.5,0.0
TRX-10055,PROD-1322,2025-12-23,5,1535.94,38.75,20,Perdido,Bogotá,Online,False,False,False,True,Accesorios,1193.0,642.26,163.0,10.0,Norte,2025-05-30,False,False,False,421.0,,,,False,,,0,False,7679.700000000001,893.6800000000001,0.581845645012175,4468.400000000001,10.0,0.0
TRX-10056,PROD-3261,2025-02-12,8,78.05,56.31,10,Perdido,Medellín,Online,False,False,False,True,Sin Categoría,1155.0,540.83,104.0,27.5,Sur,2024-03-27,False,False,False,850.0,,,,False,,,0,False,624.4,-462.78000000000003,-5.929276105060859,-3702.2400000000002,-17.5,0.0
TRX-10057,PROD-2200,2024-10-24,7,1656.46,66.48,1,Devuelto,Bogotá,Online,False,False,False,True,Monitores,961.0,1331.34,183.0,0.0,BOD-EXT-99,2024-09-30,True,True,False,663.0,,,,False,,,0,False,11595.220000000001,325.1200000000001,0.19627398186494097,2275.840000000001,1.0,0.0
TRX-10058,PROD-3574,2025-03-22,9,1551.22,66.26,12,Retrasado,Barranquilla,Online,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,1.0,5.0,-9.4,True,Sí,Sin comentario,1,True,13960.98,,,,,13960.98
TRX-10059,PROD-3533,2024-11-28,2,1341.89,68.98,24,En Camino,Cali,App,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,2683.78,,,,,2683.78
TRX-10060,PROD-2481,2024-09-26,12,1522.44,52.36,15,Devuelto,Bucaramanga,App,False,False,False,True,Monitores,901.0,353.19,122.0,0.0,Norte,2025-12-25,False,False,False,212.0,4.0,3.5,-19.1,True,No,Dañado; Precio justo,2,True,18269.28,1169.25,0.7680105619925908,14031.0,15.0,0.0
TRX-10061,PROD-3364,2025-07-05,8,1959.06,69.53,6,Retrasado,Barranquilla,Físico,False,False,False,True,Accesorios,1419.0,1407.44,256.0,27.5,BOD-EXT-99,2024-08-29,True,False,False,695.0,,,,False,,,0,False,15672.48,551.6199999999999,0.2815738160138025,4412.959999999999,-21.5,0.0
TRX-10062,PROD-1787,2025-06-18,8,867.91,15.38,14,En Camino,Barranquilla,App,False,False,False,True,Sin Categoría,581.0,352.06,141.0,5.0,ZONA_FRANCA,2024-09-28,True,False,False,665.0,,,,False,,,0,False,6943.28,515.8499999999999,0.5943588620939958,4126.799999999999,9.0,0.0
TRX-10063,PROD-3885,2025-05-16,14,143.77,23.21,14,Entregado,Cali,WhatsApp,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,2012.7800000000002,,,,,2012.7800000000002
TRX-10064,PROD-1284,2025-06-26,6,927.17,64.9,15,Retrasado,Bogotá,App,False,False,False,True,Tablets,1097.0,626.64,184.0,5.0,Norte,2024-12-15,False,False,False,587.0,,,,False,,,0,False,5563.0199999999995,300.53,0.3241368896750326,1803.1799999999998,10.0,0.0
TRX-10065,PROD-1187,2024-11-02,3,102.4,43.78,1,Sin Información,Sin Ciudad (Venta Web),Físico,False,False,False,False,Smartphones,1032.0,277.38,151.0,0.0,BOD-EXT-99,2024-05-15,True,False,False,801.0,,,,False,,,0,False,307.20000000000005,-174.98,-1.7087890624999997,-524.9399999999999,1.0,0.0
TRX-10066,PROD-3708,2025-01-21,2,595.56,77.47,25,Sin Información,Cali,WhatsApp,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,1191.12,,,,,1191.12
TRX-10067,PROD-1933,2026-01-29,14,1177.89,16.87,17,Entregado,Cali,App,False,False,False,True,Laptops,425.0,488.58,100.0,3.0,Occidente,2025-07-03,False,False,False,387.0,,,,False,,,0,False,16490.460000000003,689.3100000000002,0.5852074472149352,9650.340000000002,14.0,0.0
TRX-10068,PROD-2185,2025-06-24,8,626.15,23.19,11,Perdido,Medellín,WhatsApp,False,False,False,True,Accesorios,1769.0,604.08,157.0,5.0,Norte,2024-05-12,False,False,False,804.0,3.0,3.0,-24.1,True,No,Lento; No volvería,2,True,5009.2,22.069999999999936,0.03524714525273487,176.5599999999995,6.0,0.0
TRX-10069,PROD-1326,2025-05-11,6,1373.94,58.05,15,Perdido,Bogotá,WhatsApp,False,False,False,True,Smartphones,1058.0,618.27,115.0,5.0,Occidente,2025-06-11,False,True,False,409.0,,,,False,,,0,False,8243.64,755.6700000000001,0.550002183501463,4534.02,10.0,0.0
TRX-10070,PROD-1953,2025-07-23,4,1645.75,52.57,20,Retrasado,Sin Ciudad (Venta Web),WhatsApp,False,False,False,False,Accesorios,1903.0,1140.15,281.0,0.0,Norte,2024-05-24,False,False,False,792.0,1.0,1.0,-41.1,False,Tal vez,No volvería,1,True,6583.0,505.5999999999999,0.30721555521798566,2022.3999999999996,20.0,0.0
TRX-10071,PROD-1413,2024-12-17,5,846.67,30.31,16,Sin Información,Bogotá,Físico,False,False,False,True,Laptops,405.0,424.96,230.0,3.0,BOD-EXT-99,2024-05-11,True,False,False,805.0,,,,False,,,0,False,4233.349999999999,421.71,0.4980807162176527,2108.5499999999997,13.0,0.0
TRX-10072,PROD-2556,2024-11-24,5,1801.27,52.36,21,Entregado,Medellín,App,False,False,False,True,Tablets,1544.0,660.07,191.0,3.0,ZONA_FRANCA,2024-03-30,True,False,False,847.0,,,,False,,,0,False,9006.35,1141.1999999999998,0.6335529931659328,5705.999999999999,18.0,0.0
TRX-10073,PROD-2138,2025-10-31,13,168.88,43.79,29,Devuelto,Bogotá,Físico,False,False,False,True,Accesorios,123.0,620.31,118.0,5.0,Norte,2024-06-12,False,False,False,773.0,,,,False,,,0,False,2195.44,-451.42999999999995,-2.6730814779725245,-5868.589999999999,24.0,0.0
TRX-10074,PROD-2857,2025-04-02,9,1681.83,8.32,27,En Camino,Bogotá,Físico,False,False,False,True,Laptops,1487.0,1308.6,157.0,10.0,BOD-EXT-99,2025-07-12,True,False,False,378.0,,,,False,,,0,False,15136.47,373.23,0.2219189811098625,3359.07,17.0,0.0
TRX-10075,PROD-3603,2025-07-12,13,1658.86,8.52,9,Perdido,Cali,App,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,21565.18,,,,,21565.18
TRX-10076,PROD-2494,2024-10-23,13,650.77,14.02,29,Perdido,Sin Ciudad (Venta Web),Físico,False,False,False,False,Laptops,771.0,1374.18,161.0,3.0,ZONA_FRANCA,2024-10-16,True,False,False,647.0,2.0,3.5,27.75,False,Sí,Lento; Excelente,2,True,8460.01,-723.4100000000001,-1.1116216174685374,-9404.330000000002,26.0,0.0
TRX-10077,PROD-1666,2025-08-18,9,604.44,59.8,12,Perdido,Barranquilla,Online,False,False,False,True,Laptops,1805.0,917.92,121.0,10.0,ZONA_FRANCA,2024-10-05,True,False,False,658.0,,,,False,,,0,False,5439.960000000001,-313.4799999999999,-0.5186288134471575,-2821.3199999999993,2.0,0.0
TRX-10078,PROD-2516,2025-02-15,8,617.14,87.05,2,Perdido,Cali,App,False,False,False,True,Smartphones,1945.0,1475.27,163.0,10.0,Occidente,2024-12-05,False,False,False,597.0,,,,False,,,0,False,4937.12,-858.13,-1.3904948634021455,-6865.04,-8.0,0.0
TRX-10079,PROD-2455,2025-01-07,8,1624.67,29.72,15,Sin Información,Cali,Online,False,False,False,True,Monitores,482.0,884.71,173.0,3.0,Norte,2024-04-24,False,False,False,822.0,,,,False,,,0,False,12997.36,739.96,0.4554524918906609,5919.68,12.0,0.0
TRX-10080,PROD-1858,2025-09-16,12,1664.99,8.22,28,Retrasado,Sin Ciudad (Venta Web),App,False,False,False,False,Tablets,833.0,460.76,181.0,3.0,ZONA_FRANCA,2025-08-10,True,False,False,349.0,5.0,2.0,-58.8,False,Sin Respuesta,No volvería,1,True,19979.88,1204.23,0.72326560519883,14450.76,25.0,0.0
TRX-10081,PROD-3745,2025-01-10,2,666.15,72.32,9,Sin Información,Sin Ciudad (Venta Web),App,True,False,False,False,Sin Catálogo,,,,,Sin Catálogo,,,,,,,,,False,,,0,False,1332.3,,,,,1332.3
TRX-10082,PROD-2093,2025-06-25,14,1189.25,86.26,28,Retrasado,Barranquilla,Físico,False,False,False,True,Smartphones,1825.0,399.69,140.0,27.5,Norte,2024-10-14,False,False,False,649.0,4.0,4.0,-48.5,True,Sí,Excelente,1,True,16649.5,789.56,0.6639142316586083,11053.84,0.5,0.0
TRX-10083,PROD-3874,2025-04-20,3,286.48,18.13,16,Entregado,Bucaramanga,Físico,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,3.0,1.0,27.6,False,Tal vez,No volvería,1,True,859.44,,,,,859.44
TRX-10084,PROD-3799,2025-02-08,14,942.87,52.36,17,Devuelto,Medellín,Físico,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,1.5,2.0,1.5,True,Tal vez,Excelente; Lento,2,True,13200.18,,,,,13200.18
TRX-10085,PROD-3654,2024-12-17,8,1997.6,41.65,20,Entregado,Medellín,WhatsApp,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,5.0,1.0,39.3,True,Sin Respuesta,Lento,1,True,15980.8,,,,,15980.8
TRX-10086,PROD-1292,2024-11-05,13,326.09,20.08,27,Sin Información,Bucaramanga,App,False,False,False,True,Laptops,736.0,847.31,255.0,10.0,ZONA_FRANCA,2025-08-30,True,False,False,329.0,,,,False,,,0,False,4239.17,-521.22,-1.5983930816645713,-6775.860000000001,17.0,0.0
